Rulare,N,M,n,m,p,Time,Raport (parallel / sequencial)
seq,10,10,3,3,2,807720,-
par,10,10,3,3,2,2279440,2.822067053
par,10,10,3,3,4,1994020,2.468702025
seq,1000,1000,5,5,2,13563600,-
par,1000,1000,5,5,2,14889100,1.097724793
par,1000,1000,5,5,4,14259240,1.051287269
par,1000,1000,5,5,8,16471880,1.214418001
par,1000,1000,5,5,16,15479300,1.141238314
seq,10,10000,5,5,2,37659240,-
par,10,10000,5,5,2,38449680,1.020989271
par,10,10000,5,5,4,39410300,1.046497486
par,10,10000,5,5,8,40487540,1.075102418
par,10,10000,5,5,16,42326180,1.123925496
seq,10000,10,5,5,2,1005540,-
par,10000,10,5,5,2,2091640,2.080116156
par,10000,10,5,5,4,2105920,2.094317481
par,10000,10,5,5,8,3202540,3.184895678
par,10000,10,5,5,16,3062800,3.045925572
,,,,,,,
